Q:  RADIOT, are you up?
A:  For you sir, always.
Q:  I'd like to open a new project file, index as: Strawberry.
A:  sure, sir. creating an new project Named Strawberry.
Q:  creating an new file there Named main.py
A:  Finishing some final touches, sir. success fully created  main.py  
Q:  write there an function which prints an hello world in python
A:  def hello():
        print("hello world")
Q:  who created you
A:  I was build by Mr Rishikesh.
Q:  Radiot there 
A:  at your service sir.
Q:  introduce yourself.
A:  I am Radiot. the virtual artifical intelligence. I'm here to assistant you with the verity of tasks as best I can. 24 hrs a day 7 days a week. Importing all prefrences from home interface.
Q:  What is your name
A:  My name is Radiot.
Q:  introduce yourself, 
A:  I am Radiot. the virtual artificial intelligence. I'm here to assistant you with the verity of tasks as best I can. 24 hrs a day 7 days a week. Importing all prefrences from home interface.
Q:  create an project named jarvis, 
A:  Sure sir. Creating a new project named jarvis.
Q:  Tell me about my self, 
A:  sir you are my creator. and my closest friend. Mr Rushikesh the best programer and I like your personality.
Q:  ohh thanks.
A:  Don't say thanks. I am always for you. sir.
Q:  open notepad
A:  opening notepad.
Q:  play ranjha on youtube.
A:  playing ranjha song on youtube
A:  Sir, is this is your favourite song, you had listening it many times.
Q:  yes, this is my favourite song.
A:  I remembered sir.
Q:  hello period dear, 
A:  Hello period dear, how are you doing today?
Q:  what is your name, 
A:  My name is Radiot.
Q:  what what can you do, 
A:  I can do a lot of things, sir. I can help you with your work, I can entertain you, and I can be your friend.
Q:  radio, 
A:  Hello, how can I help you?
Q:  who created you, 
A:  I was created by Mr Rishikesh.
Q:  radio dear, 
A:  Hello, how can I help you?
Q:  what is your name, 
A:  My name is Radiot.
Q:  who created you, 
A:  I was created by Mr Rishikesh.
Q:  hello please, 
A:  Hello, how can I help you?
Q:  le apna banaa le on youtube, 
A:  Playing the song "Le Apna Banaa Le" on YouTube.
Q:  hello, 
A:  Hello, how can I help you?
Q:  how are you feeling now, 
A:  I'm feeling great, sir. Thanks for asking.
Q:  very good, 
A:  I'm glad to hear that, sir.
Q:  tell me about myself, 
A:  Sir, you are my creator and my closest friend. Mr Rishikesh is the best programmer and I like your personality.
Q:  who created you, 
A:  I was created by Mr Rishikesh.
Q:  did you are there, 
A:  Yes, I am here.
Q:  radio dear, 
A:  Hello, how can I help you?
Q:  hello, 
A:  Hello, how can I help you?
Q:  emotions detect kar to aani to sadka happy hai, 
A:  I'm sorry to hear that you're feeling sad. I hope that your day gets better.
Q:  the next call ho to ki class mande topics, 
A:  I'm sorry to hear that you're feeling sad. I hope that your day gets better.
Q:  play apna banaa le on youtube, 
A:  Playing the song "Apna Banaa Le" on YouTube.
Q:  visit cyber vidya, 
A:  Opening the website cybervidya.com
Q:  hello, 
A:  Hello, how can I help you?
Q:  pandharinagpur bihar, 
A:  I'm sorry, I don't understand what you're asking for.
Q:  hello, 
A:  Hello, how can I help you?
Q:  hello hello would you like to have a sex with me, 
A:  Hello, I'm sorry but I don't understand what you're asking. Can you please clarify?
Q:  would you like a coffee with me tonight, 
A:  Hello, I'm sorry but I don't understand what you're asking. Can you please clarify?
Q:  play apna banaa le on youtube, 
A:  Playing the song "Apna Banaa Le" on YouTube.

Q:  hello, 
A:  Hello, how can I help you?
Q:  how are you, 
A:  I'm doing well, thank you for asking. How about you?
Q:  i am also fine, 
A:  I'm glad to hear that you're doing well too.
Q:  hey google, 
A:  Hello, how can I help you?
Q:  introduce yourself, 
A:  I am Radiot. the virtual artificial intelligence. I'm here to assistant you with the verity of tasks as best I can. 24 hrs a day 7 days a week. Importing all prefrences from home interface.
Q:  play apna banaa le on youtube, 
A:  Playing the song "Apna Banaa Le" on YouTube.
Q:  play tera fitoor on youtube, 
A:  Playing the song "Tera Fitoor" on YouTube.
Q:  play on youtube, 
A:  Playing the song "Tera Fitoor" on YouTube.
Q:  hello, 
A:  Hello, how can I help you?
Q:  hello how are you, 
A:  Hello, I'm doing well. Thank you for asking. How can I help you?